created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
"Thu Aug 31 23:29:57 +0000 2023;1697391303225733512;""KARENA @ganjarpranowo MERASA DIDUKUNG OLEH KELOMPOK IBLIS2 KOMUNIS PKI DAN CHINA SELUNDUPAN @jokowi DAN @PDI_Perjuangan MEGAWATI DAN CUCU MOTOR KOMUNIS @puanmaharani_ri ""SOEKARNO"" JUGA PARA ""PROJO KOMUNIS PKI"" MAKA DIA BERANI BERKATA ""SERUDUK OPOSISI""  https://t.co/xE9SDc2rXt"";0;0;0;0;in;1328156053733666817;1697391303225733512;DatooOnie;https://twitter.com/DatooOnie/status/1697391303225733512",,,,
"Thu Aug 31 23:29:33 +0000 2023;1697391202281329055;""Melalui SMKN Jateng  Ganjar Pranowo mewujudkan mimpi mereka ",,,,
"Thu Aug 31 23:29:24 +0000 2023;1697391164914364517;""Setidaknya  ada 2 nama dari internal @PDI_Perjuangan yg saya denger dr mulutnya sendiri mendukung langkah Budiman. Keduanya 1 di Senayan",,,,
"Thu Aug 31 23:28:15 +0000 2023;1697390876149129563;""@KerjaBrngGanjar @ganjarpranowo Mantap pak🤟 Bismillah 2024 menang❤️ #GanjarPranowo #GanjarUntukSemua"";0;0;0;0;in;477423076;1697266212210934013;firdasirait;https://twitter.com/firdasirait/status/1697390876149129563",,,,
"Thu Aug 31 23:27:25 +0000 2023;1697390668405211264;""Momen kebersamaan @ganjar_pranowo bersama keluarga kecilnya Potret keluarga bahagia sejahtera dan harmonis Keluarga Idaman ♥️ https://t.co/ZVy4JUU1Hj"";1;4;16;38;in;1248538148990152704;1697390668405211264;Ghurem2;https://twitter.com/Ghurem2/status/1697390668405211264",,,,
"Thu Aug 31 23:27:19 +0000 2023;1697390639607165041;""@DemokrasiMartir @prabowo @cak_imin @ganjarpranowo @Gerindra @DPP_PKB Terserah kau lah"";0;0;0;0;in;1505203821999321090;1697271998211326333;nkrigariskeras_;https://twitter.com/nkrigariskeras_/status/1697390639607165041",,,,
"Thu Aug 31 23:26:52 +0000 2023;1697390529665994804;""Hari Jumat  Mari kita ceria-bahagiakan Indonesia dg sholawat  Semoga Pak @jokowi", Pak @aniesbaswedan dan Gus @cakimiNOW juga para pemimpin bangsa dan seluruh warga bangsa Indonesia senantiasa sehat," bahagia dan selamat… https://t.co/2tzSRw5rDY"";3;5;26;40;in;1128446867790913536;1697390529665994804;UmaruddinM;https://twitter.com/UmaruddinM/status/1697390529665994804",,
"Thu Aug 31 23:25:45 +0000 2023;1697390247338733768;""@Paltiwest @nongandah @ganjarpranowo Makanya anaknya 1 ya. I feel her. It’s okay sulit hamil akhirnya punya anak walau 1. Sarah aja bisa hamil saat usia  90 thn &amp  hanya 1 anak tapi lihat turunan2nya hingga sekrg banyak spt bintang2 di langit &amp  pasir di pantai.."";0;1;1;2;in;921950590308986880;1697208474974007512;kezia_stal;https://twitter.com/kezia_stal/status/1697390247338733768",,,,
"Thu Aug 31 23:25:38 +0000 2023;1697390215609176244;""@ch_chotimah2 @ganjarpranowo ESEMKA lagi... ESEMKA lagi... Lagi-lagi ESEMKA.. 😅😅😂😂🤣🤣"";0;0;0;0;in;1561001467385122816;1696749799784218627;SholehSyamsudd2;https://twitter.com/SholehSyamsudd2/status/1697390215609176244",,,,
"Thu Aug 31 23:25:16 +0000 2023;1697390125305766375;""@NFaisal07 @Jokoyu @ch_chotimah2 @AgusYudhoyono @ganjarpranowo Bisa juga"";0;0;0;0;in;1494966636004012033;1697245823690813819;jarenesopokui;https://twitter.com/jarenesopokui/status/1697390125305766375",,,,
"Thu Aug 31 23:25:00 +0000 2023;1697390058318471674;""@sapi05490638 Ganjar Pranowo bersama rakyat tak gentar walau di kroyok elit partai politik"";0;0;0;0;in;1619919747063377920;1697242219445657836;arwana_je;https://twitter.com/arwana_je/status/1697390058318471674",,,,
"Thu Aug 31 23:24:41 +0000 2023;1697389977330717047;""@DWILAKS78722248 @SETYAKI22965702 @ganjarpranowo met pg bro"";0;1;0;1;in;1566193907355922432;1697380806682128454;bungalotus25;https://twitter.com/bungalotus25/status/1697389977330717047",,,,
"Thu Aug 31 23:24:25 +0000 2023;1697389909336903864;""Gubernur Jateng @ganjar_pranowo  Lepas 34 mahasiswa yg magang di Ceko ",,,,
"Thu Aug 31 23:24:23 +0000 2023;1697389901011128637;""@SETYAKI22965702 @ganjarpranowo Matur nuwun nggih",,,,
"Thu Aug 31 23:23:19 +0000 2023;1697389635285254524;""@PDemokrat Demokrat Partai Besar.. partai pemenang pemilu 2004-2014.. masa mau dikuasai partai Nasdem.. ayoooo balik arah mumpung PDIP GANJAR PRANOWO punya CAWAPRES salah satunya KETUM DEMOKRAT.. Yakin pasti menang.. Saatnya Lawan harus menjadi Kawan seperjuangan.. ODIP-P.DEMOKRAT"";0;1;0;2;in;1472209879465017344;1697212603377086748;RikardusPande;https://twitter.com/RikardusPande/status/1697389635285254524",,,,
"Thu Aug 31 23:23:15 +0000 2023;1697389618323484760;""@ganjarpranowo Iyaa dong..kan bisa dananya dipake buat renov rumah kader sendiri",,,,
"Thu Aug 31 23:22:15 +0000 2023;1697389365520187398;""@Ghurem2 @ganjar_pranowo Pokok e @ganjarpranowo  4 RI1 https://t.co/F1OHR1uISj"";0;0;0;0;in;1488004208049930240;1697377859860562011;EffendiRistriy1;https://twitter.com/EffendiRistriy1/status/1697389365520187398",,,,
